#include <stdio.h>
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 103
AOUT: 104
AOUT: 104
AOUT: 103
AOUT: 107
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 103
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 105
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
AOUT: 104
